case,workers,binary,processes,cold_median_ms,cold_min_ms,cold_max_ms,warm_median_ms,warm_min_ms,warm_max_ms,peak_rss_kib
sum-f32,2,current,3,1.2839,1.27782,1.29512,1.14327,1.1417,1.1516,81816
sum-f32,4,baseline,3,1.59253,1.48593,2.06562,1.47256,1.44818,1.52216,126636
sum-f32,4,current,3,1.57417,1.09538,1.62792,0.808428,0.764382,0.813678,102340
sum-f32,8,baseline,3,3.1108,2.79292,4.42114,3.0653,2.87896,3.92003,212180
sum-f32,8,current,3,2.58673,2.5593,2.5972,1.41262,1.08441,1.41729,161692
sum-f32,16,baseline,3,5.54834,4.61041,5.60359,5.81083,5.42308,6.09278,348304
sum-f32,16,current,3,0.989356,0.937978,1.068,0.943219,0.936274,0.999886,225116
sum-f32,default,baseline,3,4.09372,3.96294,4.63756,6.15999,5.03726,6.33537,749432
sum-f32,default,current,3,0.862503,0.859856,0.888018,0.761881,0.691866,0.769746,348132
extrema-f32,1,baseline,3,5.45893,5.29616,5.67338,5.2173,5.17719,5.37186,71276
extrema-f32,1,current,3,3.52121,3.18339,3.79765,3.1462,3.01361,3.41404,71448
extrema-f32,2,baseline,3,3.70369,3.53513,3.79498,3.50803,3.47998,3.5222,104064
extrema-f32,2,current,3,2.24371,2.1615,2.44227,1.94802,1.93629,2.05811,81632
extrema-f32,4,baseline,3,2.65165,2.64062,2.68409,2.72763,2.68963,2.75935,169864
extrema-f32,4,current,3,4.52351,2.57331,4.56584,2.1719,1.26843,2.28263,124904
extrema-f32,8,baseline,3,3.49114,3.47151,3.82842,3.93878,3.75369,4.04377,300720
extrema-f32,8,current,3,2.71138,2.6789,2.79752,2.04205,1.72914,2.25974,155492
extrema-f32,16,baseline,3,5.39288,4.39953,7.85691,5.8185,5.78419,6.04386,530520
extrema-f32,16,current,3,2.19102,2.08833,2.25065,1.36876,1.29961,1.36898,237220
extrema-f32,default,baseline,3,4.97652,4.87895,5.65287,6.89382,6.09747,7.79704,801356
extrema-f32,default,current,3,1.96186,1.92756,1.98871,0.88938,0.87116,0.897368,360744
sum-f64,1,baseline,3,3.06451,2.93022,3.12794,2.82134,2.79175,2.88778,71268
sum-f64,1,current,3,1.8702,1.82955,1.88394,1.70614,1.68252,1.71467,71292
sum-f64,2,baseline,3,2.11169,2.09335,2.19726,1.87308,1.86262,2.2634,96144
sum-f64,2,current,3,1.30281,1.27817,1.65832,1.15695,1.15491,1.22185,81572
sum-f64,4,baseline,3,1.45179,1.43863,1.46419,1.47447,1.46925,1.56379,126656
sum-f64,4,current,3,0.852956,0.846179,0.93962,0.760498,0.752888,0.809736,102120
sum-f64,8,baseline,3,1.85443,1.77639,2.87027,2.36943,1.61604,2.83838,200432
sum-f64,8,current,3,2.52395,2.43998,2.55583,1.15863,1.04212,1.44452,161744
sum-f64,16,baseline,3,5.53291,5.34072,5.6563,5.25893,4.87357,6.18024,348532
sum-f64,16,current,3,2.723,2.61249,3.12924,1.1375,0.941254,1.15357,247656
sum-f64,default,baseline,3,5.16974,4.94291,5.26616,5.81845,5.56726,6.55662,766280
sum-f64,default,current,3,3.03359,2.9894,3.14149,0.730299,0.724414,0.754219,370964
extrema-f64,1,baseline,3,5.31407,5.31395,5.74927,5.27082,5.15537,5.46037,71172
extrema-f64,1,current,3,3.27336,3.25216,3.34132,3.10238,3.08759,3.12152,71384
extrema-f64,2,baseline,3,3.58139,3.54316,3.59552,3.53716,3.49547,3.55687,104304
extrema-f64,2,current,3,2.92952,2.88438,3.08568,1.99237,1.98619,1.996,93932
extrema-f64,4,baseline,3,3.81263,2.60766,4.0839,2.9827,2.67298,4.26624,169612
extrema-f64,4,current,3,2.54536,2.5319,3.85165,1.36961,1.28155,2.1762,124748
extrema-f64,8,baseline,3,3.65861,3.49804,3.95384,3.84827,3.59231,4.18378,300912
extrema-f64,8,current,3,3.67616,3.18382,4.82309,2.2691,2.20456,2.45302,166144
extrema-f64,16,baseline,3,8.93854,8.85579,9.27134,8.75644,8.69423,8.76005,579892
extrema-f64,16,current,3,3.29208,3.2529,3.29695,1.40104,1.38904,1.79788,248112
extrema-f64,default,baseline,3,6.93316,6.93209,8.25926,8.48831,7.93522,8.9053,799296
extrema-f64,default,current,3,3.57679,3.4704,3.5954,0.935988,0.923717,0.951923,370968
sum-time,1,baseline,3,3.03342,2.99617,3.0503,2.75243,2.73568,2.787,103848
sum-time,1,current,3,1.90925,1.87622,1.92033,1.6833,1.67089,1.69125,104056
