case,workers,binary,sha256,round,rows,groups,cold_ms,peak_rss_kib,result_sha256,warm_median_ms,warm_1_ms,warm_2_ms,warm_3_ms,warm_4_ms,warm_5_ms
symbol-key,2,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,5,1000000,4,0.805991,97688,f4f0cd4a2b69b2ea50a501980d32272f8f90ca85d2e6c4191191f90689bb19db,0.55943,0.692711,0.55943,0.541434,0.577861,0.548645
hot-min-descending,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,32769,1.49809,257848,945768a99a38df53236cda69351f9fef91a23d923f3abf3a8049970cfe62ab6e,1.75516,1.69009,2.09445,1.75516,1.24746,2.52095
hot-min-descending,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,32769,2.0985,161368,945768a99a38df53236cda69351f9fef91a23d923f3abf3a8049970cfe62ab6e,0.923214,1.03553,0.993843,0.923214,0.908375,0.897479
hot-min-descending,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,32769,2.10608,161372,945768a99a38df53236cda69351f9fef91a23d923f3abf3a8049970cfe62ab6e,0.908615,1.01658,0.897536,0.920216,0.906227,0.908615
hot-min-descending,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,2,1000000,32769,1.33165,257768,945768a99a38df53236cda69351f9fef91a23d923f3abf3a8049970cfe62ab6e,1.53628,1.57657,1.53628,1.21111,1.28022,2.40623
hot-min-descending,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,3,1000000,32769,1.66355,257860,945768a99a38df53236cda69351f9fef91a23d923f3abf3a8049970cfe62ab6e,1.88494,1.79823,2.32189,1.88494,1.35268,2.53363
hot-min-descending,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,3,1000000,32769,1.89255,161404,945768a99a38df53236cda69351f9fef91a23d923f3abf3a8049970cfe62ab6e,0.8492,0.917871,0.856067,0.8492,0.813047,0.80092
hot-min-descending,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,4,1000000,32769,2.2535,161616,945768a99a38df53236cda69351f9fef91a23d923f3abf3a8049970cfe62ab6e,1.10402,1.14838,1.12315,1.10402,0.9098,0.85995
hot-min-descending,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,4,1000000,32769,1.40893,257528,945768a99a38df53236cda69351f9fef91a23d923f3abf3a8049970cfe62ab6e,1.69136,1.62931,2.24501,1.69136,1.35397,2.83948
hot-min-descending,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,5,1000000,32769,1.03827,257564,945768a99a38df53236cda69351f9fef91a23d923f3abf3a8049970cfe62ab6e,1.57683,1.38631,2.06819,1.57683,1.24911,1.8203
hot-min-descending,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,5,1000000,32769,1.88539,161480,945768a99a38df53236cda69351f9fef91a23d923f3abf3a8049970cfe62ab6e,0.813905,0.857187,0.813905,0.802349,0.829783,0.710638
sum-f64,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.62546,206824,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,3.88479,3.94292,3.88479,4.27081,3.01971,2.96594
sum-f64,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,2.97627,161724,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.754,1.46256,1.3794,1.754,1.78727,1.77378
sum-f64,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,2.70244,161564,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.4527,1.66727,1.4527,1.41103,1.40874,1.48535
sum-f64,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,2,1000000,65536,2.75409,200084,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,2.94859,2.94859,2.65956,3.22853,2.68948,3.46272
sum-f64,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,3,1000000,65536,2.66167,200800,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,2.42944,2.83554,2.42944,2.81092,1.35121,1.59207
sum-f64,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,3,1000000,65536,2.22372,161544,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.0464,1.13346,1.05327,1.0464,1.04041,1.03656
sum-f64,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,4,1000000,65536,2.24001,161676,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.23161,1.23161,1.23034,1.23924,1.25304,1.16787
