case,workers,binary,sha256,round,rows,groups,cold_ms,peak_rss_kib,result_sha256,warm_median_ms,warm_1_ms,warm_2_ms,warm_3_ms,warm_4_ms,warm_5_ms
sum-i16,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.92831,161968,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.81483,2.52651,1.82925,1.81483,1.7314,1.75493
sum-i16,16,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,5.4798,345796,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,5.56419,5.09776,5.56419,5.68964,5.5041,5.58465
sum-i16,16,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.05453,225344,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,0.872707,0.973037,0.872707,0.837555,0.933515,0.863656
sum-i16,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,4.03637,743480,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,5.31133,5.31133,4.79074,6.37936,4.84088,7.27584
sum-i16,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,0.79728,348440,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.29041,0.669796,1.28662,1.55945,1.43481,1.29041
extrema-i16,1,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.91731,71016,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,3.67714,3.66649,3.67714,3.74056,3.67438,3.76203
extrema-i16,1,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,2.89722,71092,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,2.70568,2.71448,2.701,2.73684,2.6997,2.70568
extrema-i16,2,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.39343,104000,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,2.92125,3.09537,3.20204,2.68754,2.87872,2.92125
extrema-i16,2,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.98565,81264,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,1.85644,1.92609,1.87198,1.83723,1.81977,1.85644
extrema-i16,4,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.2415,169468,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,2.40672,3.18106,2.69763,1.97352,2.40672,2.18912
extrema-i16,4,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.36892,101996,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,1.25062,1.25062,1.25083,1.25687,1.24374,1.22551
extrema-i16,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,2.57199,301116,4898738f30509da2f14fee436fc21c3382e34c12d831b3de2f193a08af899061,2.57657,2.7489,2.34147,3.08228,2.57657,2.41172
